LAST SEEN   TYPE     REASON                    OBJECT                                       MESSAGE
7m8s        Normal   Scheduled                 pod/tcc-api-bluegreen-86c5dc54d7-7r79g       Successfully assigned app-tcc/tcc-api-bluegreen-86c5dc54d7-7r79g to vmi3069651
59s         Normal   Scheduled                 pod/tcc-api-bluegreen-787bdcb856-kc8cp       Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-kc8cp to vmi3069651
31s         Normal   Scheduled                 pod/tcc-api-canary-86c5dc54d7-r7rdd          Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-r7rdd to vmi3069651
59s         Normal   Scheduled                 pod/tcc-api-bluegreen-787bdcb856-bksz2       Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-bksz2 to vmi3069651
7m36s       Normal   Scheduled                 pod/tcc-api-canary-787bdcb856-b2zkj          Successfully assigned app-tcc/tcc-api-canary-787bdcb856-b2zkj to vmi3069651
59s         Normal   Scheduled                 pod/tcc-api-bluegreen-787bdcb856-8pw98       Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-8pw98 to vmi3069651
59s         Normal   Scheduled                 pod/tcc-api-bluegreen-787bdcb856-jgm78       Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-jgm78 to vmi3069651
7m38s       Normal   RolloutUpdated            rollout/tcc-api-canary                       Rollout updated to revision 16
7m38s       Normal   RolloutNotCompleted       rollout/tcc-api-canary                       Rollout not completed, started update to revision 16 (787bdcb856)
7m37s       Normal   ScalingReplicaSet         rollout/tcc-api-canary                       Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 16) from 0 to 1
7m36s       Normal   SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856         Created pod: tcc-api-canary-787bdcb856-b2zkj
7m35s       Normal   Pulled                    pod/tcc-api-canary-787bdcb856-b2zkj          Container image "gabrieldores/tcc-api:v1" already present on machine
7m35s       Normal   Created                   pod/tcc-api-canary-787bdcb856-b2zkj          Created container: tcc-api
7m34s       Normal   Started                   pod/tcc-api-canary-787bdcb856-b2zkj          Started container tcc-api
7m20s       Normal   RolloutStepCompleted      rollout/tcc-api-canary                       Rollout step 1/6 completed (setWeight: 20)
7m19s       Normal   RolloutPaused             rollout/tcc-api-canary                       Rollout is paused (CanaryPauseStep)
7m9s        Normal   SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7      Created pod: tcc-api-bluegreen-86c5dc54d7-7r79g
7m9s        Normal   Killing                   pod/tcc-api-bluegreen-86c5dc54d7-cxxlc       Stopping container tcc-api
7m8s        Normal   Created                   pod/tcc-api-bluegreen-86c5dc54d7-7r79g       Created container: tcc-api
7m8s        Normal   Started                   pod/tcc-api-bluegreen-86c5dc54d7-7r79g       Started container tcc-api
7m8s        Normal   Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-7r79g       Container image "gabrieldores/tcc-api:v1" already present on machine
6m48s       Normal   RolloutStepCompleted      rollout/tcc-api-canary                       Rollout step 2/6 completed (pause: 30s)
6m44s       Normal   AnalysisRunRunning        rollout/tcc-api-canary                       Step Analysis Run 'tcc-api-canary-787bdcb856-16-2' Status New: 'Running' Previous: ''
6m26s       Normal   MetricInconclusive        analysisrun/tcc-api-canary-787bdcb856-16-2   Metric 'error-rate' Completed. Result: Inconclusive
6m26s       Normal   AnalysisRunInconclusive   analysisrun/tcc-api-canary-787bdcb856-16-2   Analysis Completed. Result: Inconclusive
6m26s       Normal   MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-16-2   Metric 'latency-p95' Completed. Result: Successful
6m26s       Normal   MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-16-2   Metric 'success-rate' Completed. Result: Successful
6m25s       Normal   AnalysisRunInconclusive   rollout/tcc-api-canary                       Step Analysis Run 'tcc-api-canary-787bdcb856-16-2' Status New: 'Inconclusive' Previous: 'Running'
6m25s       Normal   RolloutPaused             rollout/tcc-api-canary                       Rollout is paused (InconclusiveAnalysisRun)
60s         Normal   RolloutNotCompleted       rollout/tcc-api-bluegreen                    Rollout not completed, started update to revision 12 (787bdcb856)
60s         Normal   RolloutResumed            rollout/tcc-api-canary                       Rollout is resumed
