LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
15m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-bksz2            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-bksz2 to vmi3069651
15m         Normal    Scheduled                 pod/tcc-api-canary-86c5dc54d7-r7rdd               Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-r7rdd to vmi3069651
22m         Normal    Scheduled                 pod/tcc-api-canary-787bdcb856-b2zkj               Successfully assigned app-tcc/tcc-api-canary-787bdcb856-b2zkj to vmi3069651
15m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-jgm78            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-jgm78 to vmi3069651
15m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-8pw98            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-8pw98 to vmi3069651
4m47s       Normal    Scheduled                 pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Successfully assigned app-tcc/tcc-api-bluegreen-86c5dc54d7-5mm8m to vmi3069651
21m         Normal    Scheduled                 pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Successfully assigned app-tcc/tcc-api-bluegreen-86c5dc54d7-7r79g to vmi3069651
15m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-kc8cp            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-kc8cp to vmi3069651
5m16s       Normal    Scheduled                 pod/tcc-api-canary-787bdcb856-kp7nm               Successfully assigned app-tcc/tcc-api-canary-787bdcb856-kp7nm to vmi3069651
22m         Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 16
22m         Normal    RolloutNotCompleted       rollout/tcc-api-canary                            Rollout not completed, started update to revision 16 (787bdcb856)
22m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 16) from 0 to 1
22m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-b2zkj
22m         Normal    Created                   pod/tcc-api-canary-787bdcb856-b2zkj               Created container: tcc-api
22m         Normal    Pulled                    pod/tcc-api-canary-787bdcb856-b2zkj               Container image "gabrieldores/tcc-api:v1" already present on machine
22m         Normal    Started                   pod/tcc-api-canary-787bdcb856-b2zkj               Started container tcc-api
21m         Normal    Killing                   pod/tcc-api-bluegreen-86c5dc54d7-cxxlc            Stopping container tcc-api
21m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-7r79g
21m         Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Started container tcc-api
21m         Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Created container: tcc-api
21m         Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Container image "gabrieldores/tcc-api:v1" already present on machine
21m         Normal    AnalysisRunRunning        rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-16-2' Status New: 'Running' Previous: ''
21m         Normal    MetricInconclusive        analysisrun/tcc-api-canary-787bdcb856-16-2        Metric 'error-rate' Completed. Result: Inconclusive
21m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-16-2        Metric 'success-rate' Completed. Result: Successful
21m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-16-2        Metric 'latency-p95' Completed. Result: Successful
21m         Normal    AnalysisRunInconclusive   analysisrun/tcc-api-canary-787bdcb856-16-2        Analysis Completed. Result: Inconclusive
21m         Normal    AnalysisRunInconclusive   rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-16-2' Status New: 'Inconclusive' Previous: 'Running'
21m         Normal    RolloutPaused             rollout/tcc-api-canary                            Rollout is paused (InconclusiveAnalysisRun)
15m         Normal    RolloutUpdated            rollout/tcc-api-bluegreen                         Rollout updated to revision 12
15m         Normal    SwitchService             rollout/tcc-api-bluegreen                         Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
15m         Normal    RolloutResumed            rollout/tcc-api-canary                            Rollout is resumed
15m         Normal    SkipSteps                 rollout/tcc-api-canary                            Rollback to stable ReplicaSets
15m         Normal    RolloutNotCompleted       rollout/tcc-api-bluegreen                         Rollout not completed, started update to revision 12 (787bdcb856)
15m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                         Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 12) from 0 to 4
15m         Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 17
15m         Normal    Killing                   pod/tcc-api-canary-787bdcb856-b2zkj               Stopping container tcc-api
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-8pw98
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-jgm78
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-kc8cp
15m         Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856              Deleted pod: tcc-api-canary-787bdcb856-b2zkj
15m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 16) from 1 to 0
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-bksz2
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-bksz2            Created container: tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-8pw98            Started container tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-jgm78            Started container tcc-api
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-8pw98            Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-jgm78            Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-8pw98            Created container: tcc-api
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-kc8cp            Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-jgm78            Created container: tcc-api
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-bksz2            Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-kc8cp            Created container: tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-bksz2            Started container tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-kc8cp            Started container tcc-api
15m         Normal    AnalysisRunRunning        rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-12-pre' Status New: 'Running' Previous: ''
15m         Normal    Killing                   pod/tcc-api-canary-86c5dc54d7-bpr5p               Stopping container tcc-api
15m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-86c5dc54d7              Created pod: tcc-api-canary-86c5dc54d7-r7rdd
15m         Normal    Pulled                    pod/tcc-api-canary-86c5dc54d7-r7rdd               Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Created                   pod/tcc-api-canary-86c5dc54d7-r7rdd               Created container: tcc-api
15m         Normal    Started                   pod/tcc-api-canary-86c5dc54d7-r7rdd               Started container tcc-api
13m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Metric 'success-rate' Completed. Result: Successful
13m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Metric 'latency-p95' Completed. Result: Successful
13m         Warning   AnalysisRunFailed         rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-12-pre' Status New: 'Failed' Previous: 'Running'
13m         Warning   MetricFailed              analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Metric 'error-rate' Completed. Result: Failed
13m         Warning   AnalysisRunFailed         analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Analysis Completed. Result: Failed
13m         Warning   RolloutAborted            rollout/tcc-api-bluegreen                         Rollout aborted update to revision 12: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-jgm78            Stopping container tcc-api
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-bksz2            Stopping container tcc-api
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-kc8cp
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-bksz2
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-8pw98
12m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                         Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 12) from 4 to 0
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-jgm78
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-kc8cp            Stopping container tcc-api
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-8pw98            Stopping container tcc-api
9m56s       Normal    RolloutUpdated            rollout/tcc-api-bluegreen                         Rollout updated to revision 13
9m56s       Normal    SwitchService             rollout/tcc-api-bluegreen                         Switched selector for service 'tcc-api-preview' from '787bdcb856' to '86c5dc54d7'
5m17s       Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 18
5m17s       Normal    RolloutNotCompleted       rollout/tcc-api-canary                            Rollout not completed, started update to revision 18 (787bdcb856)
5m16s       Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-kp7nm
5m16s       Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 18) from 0 to 1
5m15s       Normal    Started                   pod/tcc-api-canary-787bdcb856-kp7nm               Started container tcc-api
5m15s       Normal    Created                   pod/tcc-api-canary-787bdcb856-kp7nm               Created container: tcc-api
5m15s       Normal    Pulled                    pod/tcc-api-canary-787bdcb856-kp7nm               Container image "gabrieldores/tcc-api:v1" already present on machine
5m3s        Normal    RolloutStepCompleted      rollout/tcc-api-canary                            Rollout step 1/6 completed (setWeight: 20)
5m2s        Normal    RolloutPaused             rollout/tcc-api-canary                            Rollout is paused (CanaryPauseStep)
4m48s       Normal    Killing                   pod/tcc-api-bluegreen-86c5dc54d7-ghhx6            Stopping container tcc-api
4m48s       Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-5mm8m
4m46s       Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Started container tcc-api
4m46s       Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Created container: tcc-api
4m46s       Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Container image "gabrieldores/tcc-api:v1" already present on machine
4m31s       Normal    RolloutStepCompleted      rollout/tcc-api-canary                            Rollout step 2/6 completed (pause: 30s)
2m30s       Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-18-2        Metric 'latency-p95' Completed. Result: Successful
2m30s       Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-18-2        Metric 'success-rate' Completed. Result: Successful
2m20s       Warning   AnalysisRunFailed         analysisrun/tcc-api-canary-787bdcb856-18-2        Analysis Completed. Result: Failed
2m20s       Warning   MetricFailed              analysisrun/tcc-api-canary-787bdcb856-18-2        Metric 'error-rate' Completed. Result: Failed
2m19s       Warning   AnalysisRunFailed         rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-18-2' Status New: 'Failed' Previous: 'Running'
2m19s       Warning   RolloutAborted            rollout/tcc-api-canary                            Rollout aborted update to revision 18: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
2m17s       Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856              Deleted pod: tcc-api-canary-787bdcb856-kp7nm
2m17s       Normal    Killing                   pod/tcc-api-canary-787bdcb856-kp7nm               Stopping container tcc-api
