LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
42m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-5f5bc           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-5f5bc to vmi3069651
42m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-hln8h           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-hln8h to vmi3069651
5m5s        Normal    Scheduled              pod/tcc-api-canary-787bdcb856-7cdhz              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-7cdhz to vmi3069651
4m36s       Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-7qfmq              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-7qfmq to vmi3069651
52m         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-qpjhd              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-qpjhd to vmi3069651
42m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-d82k8           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-d82k8 to vmi3069651
52m         Normal    Scheduled              pod/tcc-api-canary-787bdcb856-v9s66              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-v9s66 to vmi3069651
42m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-sgpkv           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-sgpkv to vmi3069651
42m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-njxbw           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-njxbw to vmi3069651
59m         Warning   MetricFailed           analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'error-rate' Completed. Result: Failed
59m         Warning   AnalysisRunFailed      analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Analysis Completed. Result: Failed
59m         Warning   AnalysisRunFailed      rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Failed' Previous: 'Running'
59m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'latency-p95' Completed. Result: Successful
59m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'success-rate' Completed. Result: Successful
59m         Warning   RolloutAborted         rollout/tcc-api-bluegreen                        Rollout aborted update to revision 6: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
59m         Warning   MetricFailed           analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'error-rate' Completed. Result: Failed
59m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'latency-p95' Completed. Result: Successful
59m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-b669fbb57-11-2        Analysis Completed. Result: Failed
59m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'success-rate' Completed. Result: Successful
59m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 11: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
59m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-b669fbb57-11-2' Status New: 'Failed' Previous: 'Running'
59m         Normal    Killing                pod/tcc-api-canary-b669fbb57-gw924               Stopping container tcc-api
59m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-b669fbb57              Deleted pod: tcc-api-canary-b669fbb57-gw924
59m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 1 to 0
59m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-mphsd
59m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 4 to 0
59m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-r927n
59m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-6hbwq           Stopping container tcc-api
59m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-6hbwq
59m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-f8jbt           Stopping container tcc-api
59m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-f8jbt
59m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-r927n           Stopping container tcc-api
59m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-mphsd           Stopping container tcc-api
55m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 7
52m         Normal    RolloutUpdated         rollout/tcc-api-canary                           Rollout updated to revision 12
52m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-787bdcb856             Created pod: tcc-api-canary-787bdcb856-v9s66
52m         Normal    Started                pod/tcc-api-canary-787bdcb856-v9s66              Started container tcc-api
52m         Normal    Pulled                 pod/tcc-api-canary-787bdcb856-v9s66              Container image "gabrieldores/tcc-api:v1" already present on machine
52m         Normal    Created                pod/tcc-api-canary-787bdcb856-v9s66              Created container: tcc-api
52m         Normal    Killing                pod/tcc-api-canary-86c5dc54d7-74d5r              Stopping container tcc-api
52m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-qpjhd
52m         Normal    Started                pod/tcc-api-canary-86c5dc54d7-qpjhd              Started container tcc-api
52m         Normal    Created                pod/tcc-api-canary-86c5dc54d7-qpjhd              Created container: tcc-api
52m         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-qpjhd              Container image "gabrieldores/tcc-api:v1" already present on machine
49m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'success-rate' Completed. Result: Successful
49m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'latency-p95' Completed. Result: Successful
49m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-787bdcb856-12-2       Analysis Completed. Result: Failed
49m         Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'error-rate' Completed. Result: Failed
49m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-12-2' Status New: 'Failed' Previous: 'Running'
49m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 12: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
49m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 12) from 1 to 0
49m         Normal    Killing                pod/tcc-api-canary-787bdcb856-v9s66              Stopping container tcc-api
