LAST SEEN   TYPE      REASON                 OBJECT                                            MESSAGE
59s         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-mthqq            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-mthqq to vmi3069651
59s         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-ctqsc            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-ctqsc to vmi3069651
59s         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-qr9pq            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-qr9pq to vmi3069651
31s         Normal    Scheduled              pod/tcc-api-bluegreen-86c5dc54d7-cxxlc            Successfully assigned app-tcc/tcc-api-bluegreen-86c5dc54d7-cxxlc to vmi3069651
45m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-5f5bc            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-5f5bc to vmi3069651
44m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-sgpkv            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-sgpkv to vmi3069651
55m         Normal    Scheduled              pod/tcc-api-canary-787bdcb856-v9s66               Successfully assigned app-tcc/tcc-api-canary-787bdcb856-v9s66 to vmi3069651
45m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-njxbw            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-njxbw to vmi3069651
59s         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-rqlfc            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-rqlfc to vmi3069651
7m30s       Normal    Scheduled              pod/tcc-api-canary-787bdcb856-7cdhz               Successfully assigned app-tcc/tcc-api-canary-787bdcb856-7cdhz to vmi3069651
45m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-d82k8            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-d82k8 to vmi3069651
7m2s        Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-7qfmq               Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-7qfmq to vmi3069651
45m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-hln8h            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-hln8h to vmi3069651
54m         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-qpjhd               Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-qpjhd to vmi3069651
58m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                         Rollout updated to revision 7
55m         Normal    RolloutUpdated         rollout/tcc-api-canary                            Rollout updated to revision 12
55m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-v9s66
54m         Normal    Pulled                 pod/tcc-api-canary-787bdcb856-v9s66               Container image "gabrieldores/tcc-api:v1" already present on machine
54m         Normal    Created                pod/tcc-api-canary-787bdcb856-v9s66               Created container: tcc-api
54m         Normal    Started                pod/tcc-api-canary-787bdcb856-v9s66               Started container tcc-api
54m         Normal    Killing                pod/tcc-api-canary-86c5dc54d7-74d5r               Stopping container tcc-api
54m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7              Created pod: tcc-api-canary-86c5dc54d7-qpjhd
54m         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-qpjhd               Container image "gabrieldores/tcc-api:v1" already present on machine
54m         Normal    Started                pod/tcc-api-canary-86c5dc54d7-qpjhd               Started container tcc-api
54m         Normal    Created                pod/tcc-api-canary-86c5dc54d7-qpjhd               Created container: tcc-api
52m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2        Metric 'latency-p95' Completed. Result: Successful
52m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2        Metric 'success-rate' Completed. Result: Successful
51m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-787bdcb856-12-2        Analysis Completed. Result: Failed
51m         Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-12-2        Metric 'error-rate' Completed. Result: Failed
51m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-12-2' Status New: 'Failed' Previous: 'Running'
51m         Warning   RolloutAborted         rollout/tcc-api-canary                            Rollout aborted update to revision 12: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
51m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                            Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 12) from 1 to 0
51m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856              Deleted pod: tcc-api-canary-787bdcb856-v9s66
