LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
36m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-njxbw           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-njxbw to vmi3069651
46m         Normal    Scheduled              pod/tcc-api-canary-787bdcb856-v9s66              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-v9s66 to vmi3069651
36m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-hln8h           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-hln8h to vmi3069651
35m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-sgpkv           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-sgpkv to vmi3069651
56m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-f8jbt           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-f8jbt to vmi3069651
36m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-5f5bc           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-5f5bc to vmi3069651
56m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-r927n           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-r927n to vmi3069651
45m         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-qpjhd              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-qpjhd to vmi3069651
56m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-mphsd           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-mphsd to vmi3069651
56m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-6hbwq           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-6hbwq to vmi3069651
55m         Normal    Scheduled              pod/tcc-api-canary-b669fbb57-gw924               Successfully assigned app-tcc/tcc-api-canary-b669fbb57-gw924 to vmi3069651
36m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-d82k8           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-d82k8 to vmi3069651
55m         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-bpr5p              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-bpr5p to vmi3069651
56m         Normal    RolloutNotCompleted    rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 6 (787bdcb856)
56m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 6
56m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 0 to 4
56m         Normal    NewReplicaSetCreated   rollout/tcc-api-canary                           Created ReplicaSet tcc-api-canary-b669fbb57 (revision 11)
56m         Normal    RolloutUpdated         rollout/tcc-api-canary                           Rollout updated to revision 11
56m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-6hbwq
56m         Normal    Killing                pod/tcc-api-canary-787bdcb856-26ngf              Stopping container tcc-api
56m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-f8jbt
56m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-r927n
56m         Normal    RolloutResumed         rollout/tcc-api-canary                           Rollout is resumed
56m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-mphsd
56m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-26ngf
56m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 10) from 1 to 0
55m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-f8jbt           Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-f8jbt           Started container tcc-api
55m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-f8jbt           Created container: tcc-api
55m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-6hbwq           Created container: tcc-api
55m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-6hbwq           Started container tcc-api
55m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-r927n           Created container: tcc-api
55m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-r927n           Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-6hbwq           Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-mphsd           Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-mphsd           Created container: tcc-api
55m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-b669fbb57              Created pod: tcc-api-canary-b669fbb57-gw924
55m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-mphsd           Started container tcc-api
55m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-r927n           Started container tcc-api
55m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled up ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 0 to 1
55m         Normal    Started                pod/tcc-api-canary-b669fbb57-gw924               Started container tcc-api
55m         Normal    Created                pod/tcc-api-canary-b669fbb57-gw924               Created container: tcc-api
55m         Normal    Pulled                 pod/tcc-api-canary-b669fbb57-gw924               Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    RolloutStepCompleted   rollout/tcc-api-canary                           Rollout step 1/6 completed (setWeight: 20)
55m         Normal    AnalysisRunRunning     rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Running' Previous: ''
