LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
57m         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-bpr5p              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-bpr5p to vmi3069651
38m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-d82k8           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-d82k8 to vmi3069651
48m         Normal    Scheduled              pod/tcc-api-canary-787bdcb856-v9s66              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-v9s66 to vmi3069651
58m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-f8jbt           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-f8jbt to vmi3069651
31s         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-7qfmq              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-7qfmq to vmi3069651
38m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-sgpkv           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-sgpkv to vmi3069651
38m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-hln8h           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-hln8h to vmi3069651
60s         Normal    Scheduled              pod/tcc-api-canary-787bdcb856-7cdhz              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-7cdhz to vmi3069651
58m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-mphsd           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-mphsd to vmi3069651
58m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-6hbwq           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-6hbwq to vmi3069651
58m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-r927n           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-r927n to vmi3069651
38m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-5f5bc           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-5f5bc to vmi3069651
48m         Normal    Scheduled              pod/tcc-api-canary-86c5dc54d7-qpjhd              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-qpjhd to vmi3069651
58m         Normal    Scheduled              pod/tcc-api-canary-b669fbb57-gw924               Successfully assigned app-tcc/tcc-api-canary-b669fbb57-gw924 to vmi3069651
38m         Normal    Scheduled              pod/tcc-api-bluegreen-787bdcb856-njxbw           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-njxbw to vmi3069651
58m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 0 to 4
58m         Normal    RolloutNotCompleted    rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 6 (787bdcb856)
58m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 6
58m         Normal    RolloutUpdated         rollout/tcc-api-canary                           Rollout updated to revision 11
