LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
10m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-f8jbt           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-f8jbt to vmi3069651
57s         Normal    Scheduled                 pod/tcc-api-canary-787bdcb856-v9s66              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-v9s66 to vmi3069651
18m         Normal    Scheduled                 pod/tcc-api-bluegreen-86c5dc54d7-ghhx6           Successfully assigned app-tcc/tcc-api-bluegreen-86c5dc54d7-ghhx6 to vmi3069651
30m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-zfxpg           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-zfxpg to vmi3069651
30m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-4b4sh           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-4b4sh to vmi3069651
30m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-xwfz6           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-xwfz6 to vmi3069651
18m         Normal    Scheduled                 pod/tcc-api-canary-787bdcb856-26ngf              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-26ngf to vmi3069651
38m         Normal    Scheduled                 pod/tcc-api-canary-787bdcb856-xdlmf              Successfully assigned app-tcc/tcc-api-canary-787bdcb856-xdlmf to vmi3069651
10m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-r927n           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-r927n to vmi3069651
10m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-mphsd           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-mphsd to vmi3069651
30m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-jlmq8           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-jlmq8 to vmi3069651
10m         Normal    Scheduled                 pod/tcc-api-canary-b669fbb57-gw924               Successfully assigned app-tcc/tcc-api-canary-b669fbb57-gw924 to vmi3069651
31s         Normal    Scheduled                 pod/tcc-api-canary-86c5dc54d7-qpjhd              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-qpjhd to vmi3069651
10m         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-6hbwq           Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-6hbwq to vmi3069651
30m         Normal    Scheduled                 pod/tcc-api-canary-86c5dc54d7-7s5rb              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-7s5rb to vmi3069651
10m         Normal    Scheduled                 pod/tcc-api-canary-86c5dc54d7-bpr5p              Successfully assigned app-tcc/tcc-api-canary-86c5dc54d7-bpr5p to vmi3069651
38m         Normal    RolloutNotCompleted       rollout/tcc-api-canary                           Rollout not completed, started update to revision 8 (787bdcb856)
38m         Normal    NewReplicaSetCreated      rollout/tcc-api-canary                           Created ReplicaSet tcc-api-canary-787bdcb856 (revision 8)
38m         Normal    RolloutUpdated            rollout/tcc-api-canary                           Rollout updated to revision 8
38m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856             Created pod: tcc-api-canary-787bdcb856-xdlmf
